============================================================
戸塚宏 発言記録集（圧縮版）
[00:12] ?それはね、ソフトの問題でしょ?体罰の
[00:16] 問題じゃなしにソフトの問題だから悪は
[00:20] 必ずソフトで起こるでしょうからソフトの
[00:22] 悪い人うまく使えない人がいるからと言っ
[00:25] て禁止するということは自動車事故を
[00:29] 起こす人がいるから自動車は禁止すると
[00:32] いうのと一緒やで。だから悪い方のことを
[00:35] 狙ってやるんじゃなしにいい方を狙って
[00:38] やるんだからそちらの方を残しといてで
[00:41] 悪い方のことが起こらんようにソフトの
[00:44] トレーニングをしたらいい
[00:46] 。見てると分かると思うんやけど本能の中
[00:51] 例えば感情。これは会感が3つあるんやね
[00:54] 。恐怖、驚愕、怒り。この3つです。恐怖
[00:58] は逃げる行動をする。怒りは立ち向かう
[01:01] 行動をする。だから罰は怒りでやらないと
[01:05] いけない。体罰さっきほら動物行動学の主
[01:09] 攻撃の話をしたよね。攻撃を恐怖でやる
[01:13] 場合例えばキ祖猫をかむあれは恐怖で攻撃
[01:18] をする場合やね。やってはいけないことや
[01:21] 。ネズミが猫に向かっていて勝てるはずが
[01:24] ないんだから。なんかむちゃくちゃなこと
[01:26] になっちゃうんやね。恐怖による攻撃は。
[01:28] で、特に人間の場合、弱い人が体罰をやる
[01:33] と相手が怖いからやっちまう。俺の言う
[01:37] こと聞かん。俺の言うことを聞かんという
[01:39] ことが起こった場合にそれに対して怒りを
[01:42] 出す人と恐怖を出す人とおるんやね。
[01:45] あいつ俺を攻撃するつもりかという恐怖や
[01:48] ね。そうするとところが立場が自分の方が
[01:51] 上だから体罰をやる。体罰をやってみても
[01:55] 恐怖が消えないじゃない。またいつか
[01:57] やり返されるかもしれん。やったのに言う
[01:59] こと聞かないで。それがエスカレートして
[02:02] いくんやね。もっとやろ、もっとやれ。
[02:03] もっとやれ。だから恐怖による体罰は
[02:06] 間違い。怒りによる体罰は正しいな。だ
[02:10] から体罰をやる人は自分が恐怖でやっとん
[02:14] のか怒りでやっとんのかよく湧きまえんと
[02:16] 。精神的に弱い人は必ず恐怖でやるから
[02:20] やめた方がいい。簡単なことやろ。まず
[02:23] やる方が己れをしれよろ。
[02:26] で、その前にちゃんと罰ができるよう相手のためになるように自分をトレーニングしろよ。強くなれ。強いのは全、弱いのは悪だ。そいつを今ね、リベラルは弱い方が全、強い方が悪って言うじゃない。だからおかしなことになるんよね。
[02:45] 体罰をやる人によって、ま、効果とか正しく行われるかが変わると思うんですけど、そこはソフトの問題なので、罰自体の問題ではないっていうことです。
[02:55] 自体の問題はないよね。そこをみんな
[02:57] 間違えとるし。マスコミなんかもわけ
[03:00] わからんよね。松明は虐待であるとか松明
[03:03] は暴行であるとか言い出すようなアホと
[03:05] しか言えんような連中よね。そんなやの
[03:08] 言うこと聞いたらいかんよ。大体ほら地一
[03:11] 知っているということはできるということ
[03:14] か。正しい体罰ができる人は体罰を知っ
[03:17] てるんだ。だけど体罰をやったこともない
[03:20] 人が体罰について語ったらそれ嘘や。
[03:23] 正しいかどうかの判断は全然してないから

--- 動画: 【対談】戸塚宏の一番弟子が登場 ---
[00:00] 交渉の1
[00:00] 番でしてある川本さんをご紹介いたします。自己紹介お願いいたします。
[00:05] 安証塾の塾長川本です。よろしくお願いします。武道教育の元々ずっと武道やってたんでそれの暗証塾っていうのを作って、ま、
[00:14] 10
[00:15] 年目なんですが子供たちにこう空手堂だったりとかを教えてます。あと保育士もやってます。
[00:20] それは使教育論を学ばれてそれを反映させてっていう形です。
[00:26] ま、もちろんできる範囲でやってますね。
[00:28] なかなか10
[00:29] できるとしたら保育園って言ったら
[00:31] 3
[00:31] ぐらいしかできないかもしれないですけど色々思考作しながら子供のためにできることはやってます。こ
[00:40] との出会いははい。2008年、今からま
[00:43] 、17年ぐらい前なんですけど、9月に
[00:46] 先生記念館で政治家の西村信号先生の勉強
[00:50] 会がありまして、いろんな政治だったり
[00:53] 教育だったりのシンポジウムとかこういう
[00:56] 勉強会に当時大学生で参加していて、その
[00:59] 日は西村信吾先生の勉強会にゲストとして
[01:03] 戸塚浩校長が講演されるということで自分
[01:06] は行ってきました。
[01:09] その時自分も戸塚校長のことを、ま、全然
[01:12] 知らなくて、なんとなく、ま、イメージで
[01:15] 悪人なんだろうなっていう、ま、自分
[01:17] なんか子供の教育をしっかりしたいって
[01:20] 思って大学生活を聞てたんで、子供を
[01:22] いじめる悪い人だと思いながら講演を受け
[01:25] たんですが、それは全然違くてですね、ま
[01:28] 、自分が漠然と思いた日本人にガッチした
[01:31] 教育というのを実際にやられていて、で、
[01:35] この理論が全て納得いくもので、そんな方
[01:38] がいるんだなっていうすごい衝撃を受け
[01:41] ました。すごい衝撃受けたんで公演会終了
[01:44] 後に自分が挨拶に行って自分は子供たちに
[01:47] アルバイトとかで武道の誘談者も持ってた
[01:50] んで子供たちに指導してるものですと
[01:52] すごい勘明けましたっていうので挨拶に
[01:54] 行きました。
[01:57] その後手紙も送りまして、秋ぐらいに
[02:00] じゃあちょっと1回話してみなっていう
[02:02] ことで東京の事務所へ行ってそこでもお話
[02:05] を聞かせていただいて実際自分はこの話
[02:08] だけじゃないに実際の現場っていうの見て
[02:10] みたいと思ったんですね。
[02:12] だけではこうかっこいい教育論語ってても実際の現場は違うっていうことやっぱありますのでそしたらこれもじゃ
[02:18] 2
[02:18] 月の沖縄で合宿するからそこにおいでということで大学
[02:22] 3年生の時だったと思うんですけど
[02:24] 2
[02:24] 月に凸夫オ夫スクールの沖縄区に初めて見学しに行ったというところですね。
[02:29] で、それから校長のもで教育論を学ばれるのに何年ぐらいいらっしゃいました?
[02:35] その後学部を変更してまた
[02:38] 2
[02:38] 年間大学生活を送っているんですけど、その間にま、何度かと塚愛知の合宿所にも足を運んで現場見させてもらって、教育学科の
[02:49] 4
[02:49] 年の時に卒業論文でソキャウトスクール論っていうのを書き上げまして、この論文通るのかなと思いながらも、やっぱり大学っていうのはベラルの教授しかいません
[02:59] から色々あったんですが、なんとか通って就職で、ま、
[03:03] 4
[03:03] 年卒業の後につけスクールへレシーという形で
[03:08] 4月から行って、ま、2
[03:09] 年間突スクールで事として働かせていただきました。で見られたヨスクの教育論っていうのはいかがでした?う

--- 動画: 【戸塚宏】急増する闇バイトの原因はこれに決まっとるんよ ---
[00:00] 最近ニュースで闇バイトが結構話題になっ
[00:03] てると思うんですけどご存知ですかあうん
[00:05] うんあれは校長的にはどういう風にお考え
[00:08] です
[00:09] かああれがねリベラルのおかげでああいう
[00:13] 人間ができたい責任感がないやろでも初め
[00:17] から犯罪だと分かってるじゃないあれ見て
[00:20] 分からんやったらバカだよねだから分かっ
[00:23] てても責任感がないとまええやということ
[00:26] になっちまうもう1つは理性が正しいなら
[00:30] 俺やりたいと思ったらそれは理性や金が
[00:32] 入るから罪の意識がないやろあれらだから
[00:36] どうやったら罪の意識ができるか責任感が
[00:40] できるかを考えた方がいいんじゃない今
[00:42] それができないやっぱりねうちにも大勢き
[00:45] たんや悪いことばっかりするやつねそれが
[00:48] 何も飛行とか不良とかそういう連中じゃ
[00:52] なしに小学生の小さな女の子がそうないで
[00:55] そういう悪いことを平気でやるつまり罪の
[00:59] 意識がないこれらを見てるとね共通校が出
[01:03] てくるん叱られなかったから叱るというの
[01:07] は大事なことでね罪の意識ができる罪の
[01:11] 意識のないやつは社会に入れんやろだから
[01:14] 社会性ができないんだああいう飛び跳ねと
[01:17] むちゃくちゃやるようなやつ罪の意識が
[01:20] ない社会性がないこれは光らなかったから
[01:24] そうすると光るより褒めろといったやつを
[01:26] みんなで吊るししまうやないかそいつの
[01:30] おかげでどれほどの人間が反社会的な人間
[01:34] になっちまったのかでリベラルがそいつを
[01:37] 助長したやろ明らかに責任とれよそういう
[01:41] 変な人間を作っちまった通要せ人間を作っ
[01:44] ちまっ
[01:46] たコメントで結構あったのが本当に今の
[01:50] 教育は悪くなってるのかっていう質問で
[01:52] 犯罪率とかは現象傾向にあるから実は教育
[01:56] は良くなってるんじゃないのっていう
[01:57] コメントが結構ありました犯罪率は昔は
[02:02] 犯罪を起こす素質があったじゃない貧乏な
[02:07] 生活がもうどうしても立ち行かないという
[02:09] から今でもそういうやつが犯罪起こしとる
[02:12] やろだからそういうやつ社会からミスられ
[02:16] たようなそれを作ったのはリベラルちゃん
[02:19] だから犯罪率じゃないんだ犯罪者の具合な
[02:23] どうやってできたかの問題ね校長は今の方
[02:26] が教育が悪くなったっていうのは何を根拠
[02:29] に
[02:30] あれだけ登校拒否やっこができてて教育を
[02:34] 成功したとはおこがましいであいつらは
[02:37] どうするんやあいつらを作ったやつはどう
[02:40] いう責任を取るんや彼らが一生だめやない
[02:43] か一生ちゃんと暮らせるように教育をする
[02:46] んやないのか独立してね独立もできん就職
[02:51] もできん家から出れんこれ教育がよなった
[02:55] の投稿拒否は昔から増えちゃってるんです
[02:59] か業師は昔なかったじゃんあれ貧乏で家の
[03:04] 手伝いをさせるだから学校へ行かして
[03:07] もらえなかったこれが昔の登校拒否よそれ
[03:10] であれのね農家のイカの時とか田の時子供
[03:14] の手も欲しいわねで学校へ行くことならん

--- 動画: Hiroshi Totsuka vs. Anti-Comment [Outdated thinking] #TotsukaYachtSchool ---
[00:00] コメント欄で校長が授教の話する時に古いとか
[00:04] 考え方が古臭いっていうのをたくさん頂いたのでまずちょっとその話からお願いします。
[00:09] はい。
[00:11] 古いと悪いの意味は分かってるんかな?授況をやる時にこれ自という事んだ。これほど授況を解釈するのにありがたいものもまたないんや。漢字のね、出来方漢字もどんどんどんどん変わってくるからね。
[00:28] 進歩してくる。その進歩の仕方とか綺麗に
[00:31] 書いてある。だから授況をやってみようと
[00:34] 思う人はまずこれかいな。この辞書見ると
[00:37] 我々理系でも満足するわ。これによる古い
[00:41] これの意味やね。古いというのを否定語に
[00:44] 使う。今でも否定語に使っるやろ。考え方
[00:47] が古いんだから考え方を否定しとるわけ。
[00:50] アンチの方ですから
[00:51] ね。全部左翼だ。は新しいわけやから古い
[00:56] のを否定しないと自分を肯定できんやろ。
[01:00] だから古いのを否定するんだ。だけど奴ら
[01:02] が正しいという証拠はどこにもないやない
[01:05] か。
[01:07] じゃあ古いから。古いというのは銃下口の
[01:12] 口。これはねって言うんやな。王様がこれ
[01:17] どうしようなという政策を考える。で、
[01:19] そのせ、考えた制作を当時だから木に書い
[01:23] たり竹に書いたりするな、木カとかち感。
[01:26] それをこういう入れ物に入れるんだ。で、
[01:29] 蓋をして巫がその横でずっと天に祈るんだ
[01:34] と巫がだんだんなんか捨り状態になって
[01:36] くんのね。踊り出したり叫んだりする。
[01:39] そうすると神と更新ができるんだ。で、神
[01:42] と更新ができたら神がこの際に降りてくる
[01:46] 。降りてきた状態を足神が足から降りて
[01:50] くるけどね。足巫女がそいつを見てみると
[01:55] 神様はこう言ってるというのが出てくるん
[01:57] だ。で、その通りの政治をやるとうまく
[02:00] いく。これが再生一致。巫女が決める。
[02:04] これうまくいっとったんだと。それを人間
[02:07] がやり出す。ヨーロッパでも中国なんかで
[02:10] もそうやね。やり出すとダメになるんだ。
[02:13] 神の声聞いてないんやね。で、1
[02:15] 個質問で神の声を聞くとまくいくっていうのが、ま、校長がつもおっしゃる科学とか理系からするとちょっとどうなのかなって思うんですけど、これ何か補足とかありますか?
[02:26] 神の声と思っとったのが実は巫女の考えやったんだ。しかも必になって理性を消して考えるということは本能で考えるということなんだ。本能は正しいんだからその考えは正しいんだ。
[02:43] だから再生一致が成り立つな科学でしょう
[02:46] 。本能が全ということなんや。口はそう
[02:50] 正しいという意味。上の銃は盾なんだ。
[02:54] こういう四角い盾ほ剣盾盾で受けて剣で
[02:59] 攻撃する盾守るだから正しさを守るという
[03:04] のが古い
[03:06] ということは正しい精神な。正しい精神と
[03:11] いうのはそれで行動するとちゃんと正しい
[03:14] 結果が出る。だからそいつをずっと使い
[03:18] 続けるんだ。その精神を。で、これ古く
[03:20] なるんじゃん。もしこれが左翼の言うよう
[03:23] に間違っとったらすぐ捨てちゃうやろ。
[03:26] 古くならんのだ。だから大体古くなった
[03:30] ものというのは正しいものと思っても
[03:32] 間違いない。古いというのは正しさを守る
[03:35] という意味なんだから褒め言葉だから俺の
[03:38] 考えが古い言うたら褒めてくれて
[03:40] ありがとうよということや。お前はバカだ
[03:42] 。新しいことが正しいなんて愚かにも信じ
[03:45] とる。まだ新しいことというのはまだ実績
[03:48] がないわけよ。正しいかどうかわからん。

--- 動画: 【戸塚宏】中居くんとフジテレビ問題を斬る ---
[00:00] 今別の話題でフジテレビが色々話題になって
[00:03] 中井君
[00:04] あ、そうですね。それもで広告もテレビに出なくなったりとかであれについてどう思ってらっしゃいますか?
[00:13] そんな大物か中井君ていうのはテレビの運命テレビを潰すほどの大物なのか?彼のスキャンダルが他のテレビ局は都合がええもんでそいつを利用してやっとんじゃないの?あんな自分とこだってあるよ。必ずどのテレビ局だってね。
[00:25] [音楽]
[00:29] 表に出ないだけでああいうとこがいかんの
[00:31] よ。あいつらの人の悪いところを利用する
[00:34] 。普段の報道から悪いとこばっかり探して
[00:37] 回ってそれを大げさんに言い立ててで
[00:40] 儲け取るやからね。1つのライバルが潰れ
[00:43] てくれるんならありがたいもんによ。そこ
[00:45] のスポンサーを自分のとこに入れりゃええ
[00:47] 。ちょっとあいつはあまりにも密もない
[00:50] 悪徳承人のやることよね。今のリメラルを
[00:53] 見取ると言いつけ外交昔韓国がやっとった
[00:57] わな。アメリカに日本はこんなに悪いとこ
[01:00] です。言って自分とか特しようとしとった
[01:02] わな。あれとそっくりやないか。日本中に
[01:05] フジテレビはこんなに悪い奴らですよ。
[01:07] 言ってとしとだから見るな見るな言るわけ
[01:11] やね。見なけりゃスポンサーがつかない。
[01:13] スポンサーつかなけりゃ会社マスコミ
[01:16] の悪いとこが出たわな。他のマスコミや
[01:18] けどね。フジテレビ自体についてはどう
[01:21] 思いますか?あんな昔からやっとるやない
[01:23] か。
[01:24] 特にほら女優とか女の歌手なんてのは収代わりに使っとるんやからそれは良くて中井君に女をお世話したのが悪いないやろ。
[01:33] [音楽]
[01:34] フジテレビが悪いというよりかはたまたま最初にバレちゃって他のテレビ局がたくさん叩いてるっていう状態なんですかね。
[01:41] マスコミがうちを叩いたのもそうやろ。あれ自分たちが悪いと知っとったからうちが出てくるのが困ったわけやろ。
[01:49] リベラルは悪いんやからそいつがもう結果
[01:52] が出ちまってどうしようどうしよう言っ
[01:54] とるところにうちがハンリベラルで成果を
[01:57] 出したというあれは困るわね。そいつを
[02:00] 隠そうとしてうちを潰しまえばええという
[02:03] のが盛りかけもそうやろ保守の教育超保守
[02:06] やもんね。あそこだから潰しちまえという
[02:08] ことやね。あれが大きなったら困る。それ
[02:11] から言えばフジテレビはちょっと保守の方
[02:14] やからね。他んとこがリベラルでみんな
[02:16] 潰したかったわね。リベラルの卑怯さ。
[02:19] だから今度もトランプが勝っちまったわけやろ。リベラルがあんまり卑怯やもんでね。
[02:25] 校長は富士テレビに個人的な思いとかは特にないんですかね?
[02:26] [音楽]
[02:29] 富士テレビはうちを曲と同じように扱っとったけどね。時々こう応援すると今度は反発が来るんや。視聴者と称するとからね消しから言ってそれで慌ててまたぶを批判するというそれ繰り返しとったわね。見とっても真のない連中やと思ったわね。
[02:47] 味方するならしっかり見方せえよと。反対
[02:50] するなら最初から反対しとけよと思っとっ
[02:52] たよね。そいつは例えば産経新聞にも現れ
[02:55] とるやないか。産経はハンリベラルのはず
[02:58] や。ところが反リベラルのは政治欄だけや
[03:01] ないか。あれは社会面見ておらん。あれ
[03:04] リベラルやん。前なんかの介合の時にね、
[03:08] 俺がちょっと話をしてリベラルが消しから
[03:10] んていう話をした。フジテレビの人がうち
[03:13] はリベラルじゃないからってそういうこと
[03:15] を言ったんや。
[03:16] そに対してない。あんた社会面リベラルやないか。あんたらリベラルとなんか保守とは何かが分かってないんじゃないの?分かってない。みんなに引っ張られとるわね。しっかりしやもう情けな。あ、男なら星というのは男が売り物のはずや。私は男じゃない。言っとるもんだ。
[03:34] 包丁と1
[03:35] 番確があるマスコミってどの媒体なんですか?
[03:38] やっぱり朝日やろうね。

--- 動画: What Totsuka Hiroshi wants to convey most #Yamato Spirit #Japan ---
[00:00] 校長の理論の土台となってるのが動物行動学と授教と仏教と大和魂っていうところで、
[00:07] そう、そう、
[00:07] 大和魂についてそろそろ話が聞きたいっていうコメントがたくさんあったので、
[00:13] そうやね。ただね、長かかるよ、大和魂は。まず最初のだけ抑えとこうか。大和魂の定義できるかな?できんやろ。ま、で、大和魂が大事だという人はいくらでもおるんだ。
[00:23] [音楽]
[00:27] だけど大和って何なのと言うとさあそれは
[00:31] なるん。あれがいかんのやな。だから
[00:34] リベラルに言わせると大和魂は消しからん
[00:37] 。なぜならば戦争を起こしたからってだけ
[00:40] だけどそれはヤ和魂の使い方やないか大体
[00:44] 大和魂で戦争起こしたわけやないやろ。
[00:47] 魂って言うと、ま、反対派の意見としては、ま、特攻体とかのそういう風に使われたから危険なんじゃないかっていうのが主な意見だと思うんですけど。
[00:56] あれは愛国心の方やろな。大和魂の中にもあるけど別に愛国心があるのは大和魂だけやないよ。で、そいつを利用した人がおるわけやないかね。だから利用の仕方が良かったか悪かったかの問題であってよく最初の頃言ったろは全であるな。
[01:16] カードの使い方ソフトによって悪になるん
[01:19] だ。自動車は全だけどその扱い方が悪いと
[01:23] 事故を起こす悪やないか。ヤ和魂は全だ
[01:26] けどその使い方によって悪になったことが
[01:29] あったかもしれんなというのはこれあれで
[01:32] もそうやろナチズムなんかでも愛国心を
[01:35] 悪い方に使っちまったわけやろ。そういう
[01:37] そのよく考えようよと。あれはアメリカが
[01:41] 言ったことであってさ。アメリカにとって
[01:44] 大和魂というのは非常に都合の悪い精神論
[01:48] ない。何しろ明治時代あの頃一斉に東与
[01:52] アジアが文明化したわけやろ。ところが
[01:56] 欧米に対抗できるほど伸びたのは日本だけ
[01:59] やないか。だからなぜ伸びたかをずっと
[02:02] 調べとるんだ。要するに大和魂があった
[02:05] から伸びたんだと。だから今せっかく
[02:09] やっつけて日本が0マイナスまで持って
[02:12] いったのにこのまま大和魂を残しておくと
[02:17] どんどんどんどん今から伸びていってまた
[02:20] アメリカに向かってくるぞとそういうこと
[02:22] が起こらんようにしとかんといかん。だ
[02:24] から大和湿にしたのはアメリカやないか。
[02:29] そいつを朝新聞がわわわと言って宣伝して
[02:33] 前は自分たちが戦争を起こした負けたくせ
[02:36] に今度は戦争反対だったのに無理やりああ
[02:40] いう記事を欠かされたんだって言い出した
[02:42] んやね。で、大和魂反対、大和魂が戦争を
[02:46] 起こすという大和魂はいかんのだという
[02:48] ことを大宣伝したのが朝日やないか。
[02:52] そいつはアメリカの言った通りのことを
[02:54] 言ったに過ぎんのであって彼らの考えでは
[02:57] なかったんやからあの時に朝日がよく言っ
[03:00] とったのは自分たちは大本迎発表ばっかり
[03:03] を無理やりにあの報道させられたと。だ
[03:06] から確かにあの時は間違ったけど自分たち
[03:10] のせいじゃないって言い出したんやね。
[03:12] 同じ人間がGHの発表をそのまま垂れ流し
[03:17] たんだ。
[03:17] そういう新聞、朝日、特に朝日の情けなさがね、大和魂定ということを起こさしたんだ。
[03:24] え、大和魂の定義っていうのは?
[03:27] それを考えようよ。大和魂は何かも知らずに否定したらいかん。何かも知らずに肯定してもかん。だから大和魂とは何か。これがはっきり分かるようにしようや。チートは考えろよ。どうもうその特に文化系というのはものを考えん癖がついとるやろ。言われた通りの考えを持つ。
[03:46] それはあんたの考えじゃない。他の人の
[03:49] 考えだ。その人が善意か悪意感によって
[03:52] あんたも善か悪になっちまう。
[03:56] ヤ和魂の定義覚えときよ。まず精神から
[04:00] 言わんといかんよね。精神とは何か?
[04:03] ヤ和魂は精神だからね。精神の定義は行動

--- 動画: [Preaching to the Buddha] The result of an anti-fan preaching Buddhism to Hiroshi Totsuka ---
[00:00] 仏教の空っていうのは快楽や満足感が蓄積
[00:03] にいつまで立っても空っぽのまま満たされ
[00:05] ないっていう意味でリン廻転象っていうの
[00:07] は生まれ変わりのことで生まれ変わっても
[00:09] 満足感は空っぽのまま得られないからこの
[00:12] ように生まれ変わってくるなよ。りン廻
[00:13] 転職するなよっていうことを社は解いてい
[00:16] ます。本来はネガティブ思想です。ト感な
[00:19] クーリンネテンションの意味を解いてます
[00:20] ね。間違えまくってるっていうコメントが
[00:23] ありました
[00:24] 。お前が間違いまくっとるんやないか。
[00:28] 社迦がリン廻転職を解いたかね。シ迦の
[00:31] 言ってるリ廻転章は意味が全然違うで。
[00:35] あんたの言ってるリ廻転象というのはあれ
[00:38] はウパニシャド哲学シャ迦はウパニシャド
[00:42] 哲学を正しくしたんだ。あれは哲学であっ
[00:45] て間違っとったんやね。だからリン廻天を
[00:49] そういう意味生まれ変わって生まれ変わっ
[00:51] てというような意味に解いた。だけど
[00:54] お釈迦様はこういうこと言っとるんで本体
[00:57] 論だって言ったかな。永遠とか無永久そう
[01:02] いうことについては考えることもならん、
[01:05] 議論することもならんって言ってるんや。
[01:07] なぜならば人間の脳はそういうことを
[01:11] 考えることができるようにはできてない。
[01:15] この3次元の有限の世界に生きとるで
[01:18] 出来上がったからやね。で、何べも言う
[01:21] ように科学しか信用しないリ廻転象がそう
[01:25] いう意味だと言うんなら証明できるのか?
[01:29] あんたは前世では何やったんだ?原生では
[01:32] 生まれ変わって人間になったわけやろ。
[01:35] 来政はどうなるかわからん。前世は何だっ
[01:37] たの?その記憶はあるんかな?あれはせん
[01:40] やろ。というリ廻転職証明できんやないか
[01:44] 。我々はそれは非科学だからと思わない
[01:49] 。リン廻転章というのは訳後中国に入って
[01:54] きた時に仏教がリ廻転章という言葉ができ
[01:58] たわけよね。その前はパーリー語
[02:00] サムサーラかそういう意味やで。
[02:03] サムサーラの意味は彷徨うとかそういう
[02:06] ような意味なんや。何が彷徨うの?理性が
[02:10] 彷徨う。
[02:21] [音楽]
[02:26] あるいはっていうね、それが彷徨うんだ。お釈迦様は実に学的でね、仏教の最初法院っていうのがあるわね。諸業行業無上処法無が一切区所の
[02:27] 4つの4
[02:33] つの意味を含んでないお経は偽物だって言っ仏教自体がその
[02:34] 4
[02:36] つが入ってる。入ってないといけない。諸業
[02:37] 無常というのは全てが変化する。
[02:40] これが所無上処法無がというのはその変化
[02:44] には法則がある。法則はもう決まってる
[02:47] から変化の法則は自分の都合よく自分の
[02:51] 思うようにはできないよと。これが無がね
[02:54] 。ガではないんだ。この無ガがクになった
[02:57] の。食うというのは無がだから空っぽと
[03:00] いう意味じゃない。あのいかにもそのクー
[03:03] という文字があれに見えるわね。空っぽに
[03:06] 見える。あれは中国語役であってな。どう
[03:09] しても分からんやったらパリーを見てみろ

--- 動画: Of course, listen to the men too. ---
[00:00] 男性視聴者に向けて日本男者こいきろって
[00:03] いう動画を作ったら結構反響が良かったの
[00:05] で女性にどういう風に行きなさいみたいな
[00:08] メッセージ力強いのをいただきたい
[00:11] です男から見てたよいつ愛が発生するんや
[00:16] その女に対するあれをね間違えたりいかん
[00:19] のやまずどっかで出会う可愛かったり綺麗
[00:22] だったりスタイルが良かったりいろんな面
[00:25] でその女を気に入る一目惚れするわけやね
[00:29] これは恋なんだ恋の目的というのはその女
[00:33] を抱くことなんだだんだんその恋の期間が
[00:36] 長くなってきてある時その女を大一まそう
[00:40] するとね途端に愛が発生するんや守ると
[00:43] いうこと結局その女は自分のDNAを残し
[00:47] てくれる人になるわけだから大事に守って
[00:50] 自分のDNAを残させんといかんねこれ
[00:53] からが愛になるわけもう守らんといかん
[00:56] やろ自分のためにから女はそういう風なん
[00:59] だということがよく分かって変な要求し
[01:02] たらあかんよね結婚式の時によう言う
[01:04] じゃんこれで私もやっと幸せになりました
[01:07] 言って結婚することが幸せなんか違うよね
[01:11] 自分たちが生きる目的はここを間違えたら
[01:14] いかんだ種族保存なんやそれを目的にして
[01:18] 人類がずっと単西胞から進化しながら40
[01:22] 万億年生命を引き継いできたわけやろだ
[01:25] から我々になって自分のためだけに生き
[01:28] たらいかんね後の人間ののために生きな
[01:30] いかんねだから幸せになったというのは
[01:33] その後の人間ができてそいつを育てて
[01:36] トレーニングして1人前にしてそこまでで
[01:40] 自分の役目は終わりやねからそいつを
[01:43] ちゃんと頭の中入れといてさ子供が1人前
[01:46] になるようにするのが自分の役目だと思え
[01:49] ばええわけだけどその前に子供作らない
[01:52] かんはねその前に結婚せないかはねその前
[01:55] に就職せないかよね家も立てないかそれを
[01:58] ちゃんと1つずつこなして行けよと
[02:00] いきなり愛してます好きだ言って金もない
[02:04] のに結婚しちまうというそういうケースが
[02:06] 多いじゃんそいつはいか身勝手な行動に
[02:09] なるねちゃんと努力しろと女の子1人
[02:13] 欲しくてその女の子に子供を産んでもらっ
[02:16] て自分のDNAを残すんだと思えばその
[02:19] 順番を踏んできちっとやっていけちょ途中
[02:23] から男向けのメッセージになってるん俺は
[02:26] 男向けになるわね
[02:30] 女の方はね本心本能というのは女に対して
[02:35] そういうことを望んどるんだ何もお前を
[02:38] 幸福にするために俺がおるんじゃない
[02:40] DNAを残すことが俺の幸福なんやから
[02:43] その手をしろとそれが女に対する本心要求
[02:48] なんだということが分かればえアメリカ
[02:50] 映画みたいにもベタベタベタベタ朝から
[02:53] バンバで愛してるよ愛してるよという
[02:55] あいつを要求してはあかんなんなものは
[02:58] キリスト教徒が女の機嫌を取るためにやっ
[03:01] とることやあれがレディファースだと思っ
[03:03] とるなってないねま本心を知れとそれに
[03:08] 沿うように行動してやれば問題は起きない

--- 動画: 【財務省】偏差値秀才の弊害を語る【マスコミ】 ---
[00:00] 偏差はダめ。人間性が低い。人のことを
[00:04] 考える力がない。自分のことばっかり考え
[00:07] とるやないか。マスコミと一緒よ。役人が
[00:10] 悪いんやなしに偏差修が悪いんだから
[00:14] あんなものが活躍する世の中を作っちまっ
[00:16] た。これは日本の不幸をね教育見たら
[00:20] 分かるやろ。大失敗やないか。民主主義の
[00:23] 定義は知っとるかな?民主主義の定義は
[00:27] 交代性やろ。権力の交代性。
[00:29] これが民主義なんだからマスコミは反権力ないといかんな。マスコミがそいつをアかんといかん。ところがあれ真権力やね。権力者と一緒になって悪いことばっかりするよね。マスコミというのは。あれ民主義知らんの?
[00:44] 財務省のデモとかもなんかマスコミがあんまり報道しないっていうのがそういう話題になってたりするんですよ。
[00:50] あれはもう財務省の味方なんよね。マスコミなんてよく国有内地とか名古屋だったの名古屋のそばとかな。
[00:58] ああいうところを全部自分のところに
[01:01] 払い下げさせてそこに本社持っとるじゃん
[01:03] 。で、ああいうことやるもんで
[01:05] ねっちまうんよね。権力を利用
[01:09] する校長の偏差修催のお話で偏差も試験を
[01:15] 突破するために努力した結果なったものな
[01:18] のかなって個人的に思ったんですけど。
[01:20] うん。その試験が悪いんじゃん。得意
[01:24] 育体育の3つが教育やね。修催地域の試験
[01:28] は突破しとるわね。得意育と体育は試験
[01:31] なんかね、1番大事なのは得意なんだ。
[01:35] 人間性が高くないと権力者になってはいか
[01:39] んのや。だから論語でも何でも見るとまず
[01:42] 就身を納める。これが得意ね。それを全然
[01:47] やってないじゃん。大体得って何か知っ
[01:50] とるかな。得意だと言うけどマスコミは
[01:54] 得意反対なんて言うとったんやけどあの時
[01:56] に得ってなんか知らんよね。だから常に
[02:00] 自分が何を言るか分かっとらんのに
[02:03] 決めつけるんだ。アメリカの都合のいい
[02:05] ようにやっていくというのが新聞の
[02:08] マスコミの特徴よね。校長が試験作るとし
[02:11] たら今のままでもいいと思うんですけど
[02:14] とんでもない。今のあれはチークになって
[02:17] ないじゃないね。の目的は思考力を作る
[02:21] こと。論理的思考能力。正しく考える力を
[02:25] つけようって言っとんだ。この頃なんとか
[02:28] AIでそれを教育に取り入れようとしとる
[02:31] じゃん。コンピューターに考えさせりゃ
[02:33] ええって言っとるんや。あんなもの採用し
[02:35] たら人間自分が考える力要請されんじゃん
